scene_name,variant_name,num_runs,completion_rate_mean,completion_rate_std,total_energy_mean,total_energy_std,avg_delivery_time_mean,avg_delivery_time_std,avg_wait_time_at_relay_mean,avg_wait_time_at_relay_std,relay_count_mean,relay_count_std,direct_count_mean,direct_count_std,fallback_count_mean,fallback_count_std,charging_count_mean,charging_count_std,failed_tasks_mean,failed_tasks_std,total_distance_mean,total_distance_std,total_distance_uav_mean,total_distance_uav_std,total_distance_agv_mean,total_distance_agv_std
scene_small,greedy_pool,5,1.0,0.0,506.3509050096994,3.9116621741771618,4.38,0.34871191548325386,1.0,0.0,2.2,0.9797958971132712,7.8,0.9797958971132712,0.0,0.0,4.0,0.0,0.0,0.0,1604.302053601766,109.66514829532434,1317.4766052173968,117.97398156418652,286.82544838436917,8.423680104335405
scene_small,random_pool,5,1.0,0.0,506.3509050096994,3.9116621741771618,4.38,0.34871191548325386,1.0,0.0,2.2,0.9797958971132712,7.8,0.9797958971132712,0.0,0.0,4.0,0.0,0.0,0.0,1604.302053601766,109.66514829532434,1317.4766052173968,117.97398156418652,286.82544838436917,8.423680104335405
scene_small,fixed_weights,5,1.0,0.0,506.8682601341449,3.6387032885827693,4.5,0.39999999999999997,1.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1754.400379750564,23.676505427657865,1477.8917903722229,23.676505427657865,276.508589378341,0.0
scene_small,simple_ops,5,1.0,0.0,510.50696342272767,4.4564831912074565,4.1,0.48989794855663565,1.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1730.7238743229059,28.997678594999094,1454.2152849445652,28.997678594999094,276.508589378341,0.0
scene_medium,unified_full,5,0.9466666666666667,0.09568466729604881,1639.7045633210612,162.88095499077284,2.8920000000000003,0.20747797741232948,4.708484848484849,1.2432434845193503,11.4,1.3564659966250536,19.4,0.4898979485566356,0.4,0.8000000000000002,11.0,1.5491933384829668,1.6,2.870540018881465,13027.384708971878,1743.5787289969858,10672.739951698271,1122.4540305298935,2354.644757273605,638.9154912471116
scene_medium,direct_only,5,0.6799999999999999,0.26465910988372277,1013.3339502682562,494.13415004651375,3.736309523809523,2.126389301747221,,,0.0,0.0,20.4,7.939773296511683,0.0,0.0,7.0,4.979959839195493,9.6,7.939773296511683,6540.886434603605,1884.7485918607545,6540.886434603605,1884.7485918607545,0.0,0.0
scene_medium,relay_only,5,1.0266666666666668,0.1730767331432956,1894.4024448192934,336.0808752807792,2.3857142857142857,0.7641099041225884,3.4546666666666668,0.3501720212187782,33.4,4.31740662898458,0.0,0.0,2.8,1.7204650534085255,13.6,2.4979991993593593,-0.8,5.192301994298868,16625.454089370876,2184.93914639831,12566.408332005474,1574.76278487085,4059.0457573654007,747.2403131166972
scene_medium,greedy_pool,5,0.9733333333333333,0.14360439485692011,1715.8316412353802,246.64919949344622,2.9538550724637678,0.4070247021625989,4.179595959595959,0.4766556964881385,12.8,1.1661903789690602,19.2,1.7204650534085253,0.0,0.0,12.0,1.6733200530681511,0.8,4.308131845707603,12438.431951229597,2093.7665520069036,10041.721397674148,1540.0906717389703,2396.7105535554474,658.5263090246007
scene_medium,random_pool,5,0.9933333333333334,0.11430952132988165,1760.135323582599,192.8244086887147,3.949855072463768,0.8320686559816868,4.655555555555556,0.60082248153759,10.2,1.4696938456699067,21.2,2.6381811916545836,0.0,0.0,13.2,1.7204650534085253,0.2,3.429285639896449,13228.502033612818,1962.7956650704907,10901.21640164281,1681.5374705903698,2327.285631970012,350.7438466790336
scene_medium,fixed_weights,5,1.0933333333333333,0.03265986323710901,1921.2371121113679,42.35442499963025,3.393333333333333,0.4202644669993198,4.334545454545454,0.1869635576812403,12.8,0.7483314773547882,20.8,0.9797958971132713,0.2,0.4,13.6,0.48989794855663565,-2.8,0.9797958971132712,15367.125625063549,1236.7267903525355,12379.345611442954,1087.5925481469283,2987.7800136205965,322.42843347220577
scene_medium,simple_ops,5,0.8933333333333333,0.10198039027185571,1566.5126779128761,201.49581816092328,2.976,0.3048015747990813,4.123636363636363,0.3774468382467645,11.4,1.3564659966250536,18.8,0.7483314773547882,0.0,0.0,10.8,1.1661903789690602,3.2,3.059411708155671,12007.035665889049,2330.7247617749667,9742.191281872005,1623.8635778346425,2264.844384017043,726.7648489623454
scene_large,unified_full,5,1.016,0.014966629547095779,3062.2778587938083,74.89989694003216,2.46,0.3054177467011372,4.629512516469038,0.4272785490355326,22.0,1.4142135623730951,29.6,1.4966629547095764,1.2,0.7483314773547883,21.0,1.0954451150103321,-0.8,0.7483314773547883,41925.123815569896,2736.3633844281967,35418.1014712209,2920.513930450718,6507.022344348993,939.7370541257443
scene_large,direct_only,5,0.508,0.032496153618543855,1115.0755788690367,82.5012624787843,1.989836492010405,0.20334938623052856,,,0.0,0.0,25.4,1.624807680927192,0.0,0.0,4.4,0.7999999999999999,24.6,1.624807680927192,9432.202960321974,618.0959104444103,9432.202960321974,618.0959104444103,0.0,0.0
scene_large,relay_only,5,1.1280000000000001,0.08352245207128438,3518.0809959559056,290.6899512992847,1.2959999999999998,0.22321290285285927,4.864,0.5355221750777458,58.6,4.223742416388575,0.0,0.0,3.0,3.5777087639996634,25.6,2.727636339397171,-6.4,4.17612260356422,50044.47915428567,3140.461272112413,42252.312163758135,2577.703469187175,7792.1669905275385,1009.4512417811701
scene_large,greedy_pool,5,1.032,0.016000000000000014,3039.651992035248,119.00112857084696,3.396,1.2682838798944027,4.389642857142857,1.3821439645621256,23.0,5.727128425310541,30.8,4.06939798987516,0.8,0.7483314773547883,21.6,1.2000000000000002,-1.6,0.8,37199.41370224676,4001.7453080312584,31278.561921085675,3687.6736916198684,5920.851781161093,1302.6890511019353
scene_large,random_pool,5,1.048,0.0601331855134916,3133.975334493268,171.50282530505123,3.8,0.9597499674394369,4.392222222222221,1.2513183171616236,20.4,4.454211490264017,32.8,2.9257477676655586,1.2,0.7483314773547883,23.0,2.0,-2.4,3.0066592756745814,41077.48276454673,3737.0795292745133,35113.752902207794,3848.2173985394097,5963.729862338927,1148.2936152785178
scene_large,fixed_weights,5,1.032,0.03249615361854387,3073.7584548725995,143.60152874424634,2.676,0.22357101779971394,4.460269151138716,0.42633892273744317,23.6,1.8547236990991407,29.4,1.7435595774162693,0.2,0.4000000000000001,21.4,1.2000000000000002,-1.6,1.624807680927192,38705.936896524065,3012.7238654777766,32226.8221382123,2383.539287192546,6479.114758311766,1139.684438133365
scene_large,simple_ops,5,1.0400000000000003,0.021908902300206666,3108.557996059413,62.273270518653014,3.012,0.40131782915788833,4.686630608140905,0.5813116208549404,24.8,2.7856776554368237,29.2,1.7204650534085253,0.0,0.0,22.2,1.32664991614216,-2.0,1.0954451150103321,42079.97109506336,2750.61690077973,36054.527979792925,2939.6555720151637,6025.4431152704365,529.3412085232026
